,ciphertext,degrees_ranked
0,~01d3ad50155896e4ae,Bachelors
1,~01c11a0254dd09e3d4,Bachelors
2,~0146cf3cee361fe472,Bachelors
3,~0199f1742b3c7202ba,Bachelors
4,~010ee721f96dbeb744,Masters
5,~0113b7a1ad10ba8634,Masters
6,~018a25773b7e402c48,Masters
7,~0173f00d2b6bdd12d4,PhD
8,~010cf15dd1ac1a1b52,Masters
9,~01a20cc70d87c3cc63,PhD
10,~01cf265d4687ed2f55,Masters
11,~01c8c789171c7979eb,PhD
12,~01a0e118686295cb10,PhD
13,~017765934f2d1f0256,Masters
14,~0140ff3d68c7c83d9c,Masters
15,~01c6e22811c6f81b22,High School
16,~01b79952ab83d759ec,Bachelors
17,~01d86571d11d3da884,Bachelors
18,~01a15aaf92fd156662,Bachelors
19,~01dd10568e0af1e5b9,PhD
20,~015ede6ffd47966650,Masters
21,~0193c73c53483feb0a,Masters
22,~011534b6749cd7589d,PhD
23,~011a52ae43feed546e,PhD
24,~0146d9bdec797e630b,Bachelors
25,~01d361c29f765005b2,Associates
26,~01c310580f7dd02b69,Bachelors
27,~01a628fadcbc3a819a,Masters
28,~012cb704e1d07058c4,Masters
29,~0106797f0b9908e3cd,PhD
30,~0161539afc1d400df6,PhD
31,~012c5fe389a6424252,Masters
32,~013d7400588cc9611e,Masters
33,~016fd1337c77b0ff13,
34,~01cc0fcaa6c566ab48,
35,~018b555c15b467ed06,Masters
36,~0102aa1f20b411299f,Masters
37,~0172346336c51c6b71,Masters
38,~018919938d9c7a0787,PhD
39,~01f33afa4e1c63fc04,PhD
40,~01b5c8f73a67fd8811,High School
41,~0109b8af0fc5191303,Masters
42,~01e6d90b3540a2a6cf,Bachelors
43,~01c50909de68f6c4fe,Masters
44,~01a4e2e16f03a452f9,PhD
45,~01221bbf01a015d478,Masters
46,~01bc3aa2a64a9f56d8,Masters
47,~0116f0640c3dd75e86,Bachelors
48,~01325e725db9c58cc2,Masters
49,~0142735585f030861a,PhD
50,~01a75d823d0f620bf9,PhD
51,~01218fb2e40be765e2,Bachelors
52,~018d4a5281a22fb92d,PhD
53,~01f03b2f98e7997186,Masters
54,~01936081f08f37277c,PhD
55,~015665233300316723,Masters
56,~01bd86ace902f50728,Bachelors
57,~01650869b369123a30,
58,~01a635dba4c837b13d,MD
59,~016298d099c38a2dbb,Bachelors
60,~01befc77c7b057b51f,Masters
61,~019373f50609b80fbb,PhD
62,~01d6cd47ce798cb917,Masters
63,~016a12d2ec205b0eb6,Bachelors
64,~0172ff0ee83e4eaa38,PhD
65,~01c79a94e6f5e5246a,
66,~017bcf3f05a13ec71f,Masters
67,~016f0e9966d949b0e7,
68,~01434fc64f5b5335b6,Masters
69,~01be386fa745e41707,Bachelors
70,~01c82406bc1e082a18,Masters
71,~01d7feb07ff2b83919,Masters
72,~01b505f092a3de31f5,
73,~01a0afdbd1bfcfba40,PhD
74,~01240bf20e020918e0,Bachelors
75,~01c33953aa7dbdb45a,Bachelors
76,~01749e9f45b276e34b,Masters
77,~015882db901380b7bd,Masters
78,~016ab0119f3ea59c45,Masters
79,~01eea0a0a4219b8ee4,Bachelors
80,~012793d6f26a5179f3,Bachelors
81,~01ca9e00e1da22b7b5,PhD
82,~015bbae817355214ed,Bachelors
83,~010b37391c1c062f64,Bachelors
84,~01ce2df220cedc7d3a,Bachelors
85,~01f50a6ad1a580a86a,
86,~01b5f88fcd7d4f88e7,Masters
87,~01f60f417ea41d81fa,PhD
88,~018a3c570cd5012053,Bachelors
89,~01f0b6abec3c47a914,Masters
90,~018d916cb32634fb78,Bachelors
91,~0197013f035a19d7b3,PhD
92,~017e66d12223104b4a,
93,~01d20655f3faff188e,Masters
94,~014a228aee67f5d15e,Masters
95,~0154f6d86c5341d44e,Bachelors
96,~01af974007e2259590,Bachelors
97,~01e2fe8ad26716610d,PhD
98,~01870c966e6524d15e,Bachelors
99,~01b4d9be49acdb8b97,PhD
