,budget,duration,id,job_type,skills,snippet,title,workload,country,feedback,jobs_posted,past_hires,payment_verification_status,reviews_count
0,27.0,,~01843684906136dc42,Fixed,"['excel-vba', 'javascript', 'microsoft-excel']","We are looking for someone to create a VBA excel file that integrates clickable buttons to carry out scripts. The project involves converting a single cell address (unformatted) into a formatted address. I have many business names and/or address values, although sometimes only one value. The deliverable is a VBA excel table where I can enter information, click several buttons, and then obtain a formatted address (sample attached). The table should allow for multiple rows - clicking the button would then populate the corresponding formatted address. I believe this involves two steps. 1) - input a service/business, city, and country- click button and search for [service + near + city + 2 DIGIT country code] within GOOGLE MAPSi.e. bakery near granada es- save all search results- auto populate these fields from GOOGLE MAPS into Excel for each search result: Name [of service/business], Address, Website, Telephone2)- get geocode (GPS coordinates; latitude + longitude) based on Address abovehttp://en.marnoto.com/2015/06/aprende-google-maps-geocoding-exemplos.html- reverse geocode to get formatted addresshttps://www.doogal.co.uk/BatchReverseGeocoding.phphttps://www.doogal.co.uk/js/siteBundle.min.js3)google contact + @[website]google search: site:facebook.com + Namegoogle search: site:linkedin.com + Name4) transfer data to 2nd tab*  only candidates with previous VBA experience will be consideredThank you",VBA / Macros for Geocoding Addresses,30+ hrs/week,United States,2.9349601423,57,38,VERIFIED,28
1,0.0,3 to 6 months,~013e5a61f2dd228aba,Hourly,"['data-entry', 'data-scraping']","Looking for someone to do data collection.First project:This will start at the website http://www.signscompanies.comYou will then click on Browse by State, going to each website and collecting as much info as possible  clicking on each web link and collecting from there site Name, Address, Phone and Email address. Putting all that data in .cvs file.First state I need collected is Tennessee. Send sample of 5 shops to get job.Looking for a long time contract for the right person.",Need someone for data collection.,Less than 10 hrs/week,United States,4.4829882648,62,42,VERIFIED,28
2,0.0,Less than 1 week,~015369c631ecbb94df,Hourly,[],"Please read the entire post before responding:We are a real estate brokerage in Florida recruiting agentsWe are looking for a current email list for Florida agents starting with the Southeast region, and eventually for the entire state of FloridaThe fields are: name, email, cityRequirements:Must be able to speak fluent English and follow directions( no, I am not kidding)Must have basic knowledge of real estate brokerage and how agents are hiredFamiliar with sites you need to scrape/data mine- if you have to ask- this is not for you!Be able to provide a fixed price for your workKnow how many emails you can provide BEFORE you answer this postKnow which areas you can cover as we may have to hire more than one freelancerNorth American applicants onlyIf interested, respond with a quote and which areas of Florida you can cover",South Florida Realtor Email List Wanted,Less than 10 hrs/week,United States,5.0,34,15,VERIFIED,1
3,0.0,Less than 1 week,~01f11a2bb87e06eb26,Hourly,[],"Please read the entire post before responding:We are a real estate brokerage in Florida recruiting agentsWe are looking for a current email list for Florida agents starting with the Southeast region, and eventually for the entire state of FloridaThe fields are: name, email, cityRequirements:Must be able to speak fluent English and follow directions( no, I am not kidding)Must have basic knowledge of real estate brokerage and how agents are hiredFamiliar with sites you need to scrape/data mine- if you have to ask- this is not for you!Be able to provide a fixed price for your workKnow how many emails you can provide BEFORE you answer this postKnow which areas you can cover as we may have to hire more than one freelancerIf interested, respond with a quote and which areas of Florida you can cover",South Florida Realtor Email List Wanted,Less than 10 hrs/week,United States,5.0,34,15,VERIFIED,1
4,0.0,More than 6 months,~014e134eb51da5da9d,Hourly,"['web-scraping', 'wordpress']","We are looking for someone who can scrap one website of all the images, details, and upload it on to a wordpress theme.Please go and check www.realtor.ca and tell me if you will be able to take all the information from their website so we don't have to do it manually. We need this done fast as their site changes daily. We would need the images, Pricing, details, sellers information, etc.",Scraping website and uploading to Wordpress,30+ hrs/week,Canada,0.0,3,0,VERIFIED,0
5,30.0,,~018df447ec3e0b5814,Fixed,[],I need an expert to help prepare a diagram/flowchart of an excel file,I need an expert to help prepare a diagram/flowchart of an excel file,30+ hrs/week,Macao,5.0,2,3,VERIFIED,1
6,0.0,Less than 1 month,~01e2ca0de451c40a7b,Hourly,"['algorithm-development', 'digital-mapping', 'gps-development', 'mathematics']","We are recording NMEA messages with a RTK receiver mounted to a car.The job:- Analise the recorded GPS tracks- Identify points that are ""off"" the track- Interpolate more likely positions and fix the positions of pointsOutput:We are looking for someone to create the algorithms. Ideally in JavaScript/NodeJS. But C/C++/Python, or Pseudo code would also be fine.We like to implement the algorithms into our own program to fix tracks semi-automatically.E.g. you could classify a few different errors.Then develop identifiers and methods to fix the tracks.You also could think of creating a rule-set for a car:1) Max speed forward: 160 km/h.2) Max. speed backward: 15 km/h3) A car can not move right or left. Only turn left/right within e.g. 45 degree.4) Turn-rate: A car can rotate at max x degree/second.5) Change in altitude is limited to: 0.x m/sec6) Acceleration: max: m/s27) Deceleration: max: m/s2Etc.What this is not about:You to fix the data provided manually.Screenshot:http://bit.ly/2cncFuZMore screenshots, example log data and some documentation are attached to this job posting.Have a look please.",Analysis and error correction for GPS tracks from NMEA RTK GNSS data,Less than 10 hrs/week,Germany,4.9715335422,64,68,VERIFIED,35
7,0.0,Less than 1 month,~01e545de4066feed8e,Hourly,"['java', 'mysql-programming', 'netbeans', 'website-development']","Looking for someone with experience in building java enterprise applications. The person must have a technical background and  must know SQL, HTML and java(JSP) language. The person would be responsible for a thorough testing of the tool (pro grammatically rather than manual) and resolve any errors and deliver a tool that is 100% in data integrity and accuracy. Must also have experience with netbeans editor and amazon services AWS (elastic beanstalk and database).",Need Help in testing a tool that shows data in a spreadsheet form,Less than 10 hrs/week,Canada,0.0,0,0,UNKNOWN,0
8,0.0,Less than 1 month,~019c0639c0db5ff28c,Hourly,"['angularjs', 'bootstrap', 'javascript', 'jquery', 'sql-programming']","Looking for an experienced developer for a short-term project. You will work with a team leading the business and functional aspects of the project and provide the technical development to transform the functional requirements into a final solution. Must have experience with Javascript, Angular JS, and Bootstrap. Must be experienced in SQL. The solution involves the development and presentation of analytical reports and dashboards with drill-down capability.",Javascript and Bootstrap Senior Developer,10-30 hrs/week,United States,0.0,1,0,UNKNOWN,0
9,28.0,,~01144a0593baa62f44,Fixed,"['data-entry', 'java-servlets-development', 'microsoft-word', 'sage-peachtree-complete-accounting']","looking for an experienced front end developer for a 3 to 6 month project. must be experienced with Myob business essentials software 2014, US Patent Single Users Pack simply accounting 2014,Apple Final Cut Express 3.5 HD Upgrade,Norton Ghost 9.0,Microsoft Office XP 2012 Standard Upgrade,Peach tree Premium Accounting 2014. Please note that we are creating a Rich internet Application. We have specifications for applicants to Review upon request Thank you.","Our customers work hard to achieve their dreams. Thats why, for nearly 90 years, weve worked so hard to protect  need people to arrange our clients documents",30+ hrs/week,United States,0.0,0,0,UNKNOWN,0
