"","skills_fixed","n"
"1","ab-testing",25
"2","adobe-photoshop",12
"3","algorithm-development",15
"4","algorithms",29
"5","amazon-web-services",11
"6","analytics",85
"7","apache-spark",32
"8","api-development",14
"9","arcgis",17
"10","artificial-intelligence",31
"11","artificial-neural-networks",29
"12","big-data",29
"13","biostatistics",10
"14","business-analysis",17
"15","business-intelligence",34
"16","c#",13
"17","c++",21
"18","computer-vision",17
"19","content-writing",10
"20","conversion-rate-optimization",24
"21","crawlers",25
"22","css",14
"23","d3.js",21
"24","data-analysis",321
"25","data-encoding",10
"26","data-entry",251
"27","data-logistics",12
"28","data-mining",406
"29","data-modeling",72
"30","data-science",181
"31","data-scraping",227
"32","data-visualization",86
"33","database-design",26
"34","database-management",14
"35","database-modeling",11
"36","database-programming",15
"37","deep-learning",13
"38","deep-neural-networks",12
"39","elasticsearch",10
"40","email-marketing",14
"41","english",26
"42","etl",64
"43","excel-vba",95
"44","facebook-marketing",10
"45","financial-analysis",20
"46","financial-modeling",17
"47","forex-trading",14
"48","gis",37
"49","google-adwords",14
"50","google-analytics",114
"51","google-analytics-api",16
"52","google-docs",24
"53","google-spreadsheet",26
"54","google-tag-manager",26
"55","graphic-design",13
"56","hadoop",35
"57","html",22
"58","ibm-spss",36
"59","image-processing",13
"60","internet-research",106
"61","investment-research",11
"62","java",25
"63","javascript",35
"64","landing-pages",10
"65","lead-generation",30
"66","linux-system-administration",15
"67","machine-learning",181
"68","market-research",28
"69","marketing-strategy",10
"70","mathematics",57
"71","matlab",36
"72","microsoft-access-programming",17
"73","microsoft-excel",429
"74","microsoft-excel-powerpivot",36
"75","microsoft-power-bi",34
"76","microsoft-powerpoint",10
"77","microsoft-sql-server-development",13
"78","microsoft-sql-ssrs",11
"79","microsoft-word",13
"80","mongodb",13
"81","mysql",13
"82","mysql-programming",26
"83","natural-language-processing",38
"84","optimizely",13
"85","pandas",10
"86","pdf-conversion",14
"87","php",33
"88","postgresql-programming",12
"89","predictive-analytics",36
"90","python",183
"91","python-numpy",19
"92","python-scipy",16
"93","qliktech-qlikview",14
"94","qualitative-research",12
"95","quantitative-analysis",64
"96","r",101
"97","relational-databases",13
"98","report-writing",14
"99","research",40
"100","research-papers",10
"101","sas",28
"102","scientific-research",10
"103","scientific-writing",10
"104","scrapy-framework",21
"105","seo",17
"106","seo-backlinking",10
"107","seo-keyword-research",18
"108","spreadsheets",15
"109","sql",94
"110","sql-programming",16
"111","ssis",19
"112","stata",12
"113","statistical-computing",24
"114","statistics",157
"115","survey-design",11
"116","tableau",65
"117","teaching-mathematics",12
"118","tensorflow",10
"119","unbounce",11
"120","vba",14
"121","virtual-assistant",13
"122","visualization",16
"123","web-analytics",11
"124","web-crawler",32
"125","web-scraping",144
"126","wordpress",15
